app,permission
bbc.mobile.news.ww,wearable/Wearable
bbc.mobile.news.ww,wearable/Wearable
bbc.mobile.news.ww,wearable/Wearable
bbc.mobile.news.ww,wearable/Wearable
bbc.mobile.news.ww,wearable/Wearable
bbc.mobile.news.ww,wearable/Wearable
bn.ereader.apk,location/LocationServices
cc.pacer.androidapp.apk,location/LocationServices
cc.pacer.androidapp.apk,location/LocationServices
cc.pacer.androidapp.apk,location/LocationServices
cc.pacer.androidapp.apk,location/LocationServices
com.accuweather.android.apk,wearable/Wearable
com.accuweather.android.apk,location/LocationServices
com.amazon.mShop.android.shopping.apk,wearable/Wearable
com.amazon.mShop.android.shopping.apk,location/LocationServices
com.amazon.mShop.android.shopping.apk,location/LocationServices
com.aol.mobile.aolapp,wearable/Wearable
com.aol.mobile.aolapp,wearable/Wearable
com.apalon.weatherradar.free.apk,location/LocationServices
com.apalon.weatherradar.free.apk,location/LocationServices
com.bitsmedia.android.muslimpro.apk,location/LocationServices
com.bitsmedia.android.muslimpro.apk,location/LocationServices
com.booking.apk,location/LocationServices
com.booking.apk,location/LocationServices
com.booking.apk,location/LocationServices
com.booking.apk,location/LocationServices
com.booking.apk,location/LocationServices
com.chatous.chatous.apk,location/LocationServices
com.cheerfulinc.flipagram.apk,location/LocationServices
com.chickfila.cfaflagship.apk,location/LocationServices
com.chickfila.cfaflagship.apk,wallet/Wallet
com.chickfila.cfaflagship.apk,location/LocationServices
com.chickfila.cfaflagship.apk,location/LocationServices
com.chickfila.cfaflagship.apk,location/ActivityRecognition
com.chickfila.cfaflagship.apk,location/ActivityRecognition
com.chickfila.cfaflagship.apk,location/LocationServices
com.chickfila.cfaflagship.apk,location/LocationServices
com.chickfila.cfaflagship.apk,location/LocationServices
com.cmcm.live,location/LocationServices
com.cmcm.live,plus/Plus
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,location/LocationServices
com.contacts1800.ecomapp.apk,location/LocationServices
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,location/LocationServices
com.contacts1800.ecomapp.apk,wallet/Wallet
com.contacts1800.ecomapp.apk,location/LocationServices
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contacts1800.ecomapp.apk,location/LocationServices
com.contacts1800.ecomapp.apk,wearable/Wearable
com.contextlogic.geek,wallet/Wallet
com.contextlogic.geek,wallet/Wallet
com.contextlogic.geek,plus/Plus
com.contextlogic.geek,appindexing/AppIndex
com.contextlogic.geek,appindexing/AppIndex
com.contextlogic.wish,wallet/Wallet
com.contextlogic.wish,wallet/Wallet
com.contextlogic.wish,plus/Plus
com.contextlogic.wish,appindexing/AppIndex
com.contextlogic.wish,appindexing/AppIndex
com.cube.arc.blood,location/LocationServices
com.cvs.launchers.cvs.apk,location/LocationServices
com.cvs.launchers.cvs.apk,location/LocationServices
com.cvs.launchers.cvs.apk,location/ActivityRecognition
com.cvs.launchers.cvs.apk,location/LocationServices
com.cyberlink.youcammakeup.apk,appindexing/AppIndex
com.cyberlink.youcammakeup.apk,appindexing/AppIndex
com.dictionary.apk,location/LocationServices
com.dictionary.apk,location/LocationServices
com.dictionary.apk,location/LocationServices
com.discoverfinancial.mobile.apk,wearable/Wearable
com.discoverfinancial.mobile.apk,location/LocationServices
com.discoverfinancial.mobile.apk,wearable/Wearable
com.discoverfinancial.mobile.apk,wearable/Wearable
com.droid27.transparentclockweather,location/LocationServices
com.energysh.drawshow,appinvite/AppInvite
com.energysh.drawshow,appindexing/AppIndex
com.enflick.android.TextNow.apk,wearable/Wearable
com.enflick.android.TextNow.apk,wearable/Wearable
com.enflick.android.TextNow.apk,wearable/Wearable
com.enflick.android.TextNow.apk,location/LocationServices
com.enflick.android.TextNow.apk,location/LocationServices
com.enflick.android.TextNow.apk,location/LocationServices
com.enflick.android.TextNow.apk,location/LocationServices
com.enflick.android.TextNow.apk,location/LocationServices
com.fishbrain.app,location/LocationServices
com.fishbrain.app,location/LocationServices
com.gau.go.launcherex.gowidget.weatherwidget,wearable/Wearable
com.gotv.nflgamecenter.us.lite.apk,wearable/Wearable
com.gotv.nflgamecenter.us.lite.apk,wearable/Wearable
com.gotv.nflgamecenter.us.lite.apk,location/LocationServices
com.groundspeak.geocaching.intro,location/LocationServices
com.groundspeak.geocaching.intro,location/LocationServices
com.groupon.apk,location/LocationServices
com.groupon.apk,plus/Plus
com.groupon.apk,appindexing/AppIndex
com.groupon.apk,location/ActivityRecognition
com.groupon.apk,location/LocationServices
com.groupon.apk,search/SearchAuth
com.groupon.apk,wallet/Wallet
com.groupon.apk,plus/Plus
com.grubhub.android,location/LocationServices
com.handmark.expressweather,wearable/Wearable
com.handmark.expressweather,location/LocationServices
com.handmark.expressweather,wearable/Wearable
com.handmark.expressweather,wearable/Wearable
com.handmark.expressweather,location/LocationServices
com.hbo.hbonow,wearable/Wearable
com.hbo.hbonow,wearable/Wearable
com.here.app.maps.apk,wearable/Wearable
com.hopper.mountainview.play.apk,appindexing/AppIndex
com.hopper.mountainview.play.apk,location/LocationServices
com.hulu.plus,appindexing/AppIndex
com.hulu.plus,cast/Cast
com.infraware.office.link.apk,plus/Plus
com.infraware.office.link.apk,wearable/Wearable
com.linkedin.android.jobs.jobseeker,location/LocationServices
com.lucktastic.scratch.apk,plus/Plus
com.lucktastic.scratch.apk,plus/Plus
com.lucktastic.scratch.apk,location/LocationServices
com.lucktastic.scratch.apk,location/ActivityRecognition
com.lucktastic.scratch.apk,location/ActivityRecognition
com.lucktastic.scratch.apk,location/LocationServices
com.lucktastic.scratch.apk,location/LocationServices
com.lucktastic.scratch.apk,location/LocationServices
com.mapmywalk.android2.apk,wearable/Wearable
com.mcdonalds.app.apk,location/LocationServices
com.mcdonalds.app.apk,plus/Plus
com.mcdonalds.app.apk,plus/Plus
com.mcdonalds.app.apk,location/LocationServices
com.mcdonalds.app.apk,location/LocationServices
com.mercariapp.mercari.apk,plus/Plus
com.mercariapp.mercari.apk,appinvite/AppInvite
com.move.realtor.apk,search/SearchAuth
com.myfitnesspal.android.apk,location/LocationServices
com.myfitnesspal.android.apk,appindexing/AppIndex
com.myyearbook.m.apk,appindexing/AppIndex
com.myyearbook.m.apk,location/LocationServices
com.myyearbook.m.apk,location/LocationServices
com.naver.linewebtoon.apk,appindexing/AppIndex
com.nyctrans.it,appindexing/AppIndex
com.nyctrans.it,appindexing/AppIndex
com.nyctrans.it,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.oovoo.apk,location/LocationServices
com.oovoo.apk,location/LocationServices
com.oovoo.apk,plus/Plus
com.pandora.android.apk,wearable/Wearable
com.pandora.android.apk,appindexing/AppIndex
com.pandora.android.apk,cast/Cast
com.pandora.android.apk,location/LocationServices
com.paypal.android.p2pmobile.apk,safetynet/SafetyNet
com.paypal.android.p2pmobile.apk,location/LocationServices
com.picsart.studio.apk,wearable/Wearable
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,plus/Plus
com.picsart.studio.apk,plus/Plus
com.picsart.studio.apk,location/LocationServices
com.picsart.studio.apk,location/LocationServices
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,location/LocationServices
com.pinterest.apk,plus/Plus
com.pinterest.apk,appindexing/AppIndex
com.pinterest.apk,wallet/Wallet
com.poshmark.app.apk,wallet/Wallet
com.poshmark.app.apk,plus/Plus
com.poshmark.app.apk,wallet/Wallet
com.quanticapps.quranandroid.apk,location/LocationServices
com.quanticapps.quranandroid.apk,location/LocationServices
com.rhapsody,location/LocationServices
com.smule.singandroid.apk,plus/Plus
com.southwestairlines.mobile,wearable/Wearable
com.southwestairlines.mobile,wearable/Wearable
com.sparkpeople.androidtracker.apk,appinvite/AppInvite
com.squareup.apk,safetynet/SafetyNet
com.tinder.apk,location/LocationServices
com.tumblr.apk,location/ActivityRecognition
com.tumblr.apk,location/ActivityRecognition
com.tumblr.apk,location/LocationServices
com.tumblr.apk,location/LocationServices
com.urbandroid.sleep,location/LocationServices
com.urbandroid.sleep,wearable/Wearable
com.urbandroid.sleep,wearable/Wearable
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usatoday.android.news,location/LocationServices
com.usatoday.android.news,appindexing/AppIndex
com.usatoday.android.news,wearable/Wearable
com.usatoday.android.news,location/LocationServices
com.usatoday.android.news,location/LocationServices
com.walmart.android.apk,appindexing/AppIndex
com.walmart.android.apk,location/LocationServices
com.walmart.android.apk,location/LocationServices
com.walmart.android.apk,location/LocationServices
com.waze.apk,location/ActivityRecognition
com.waze.apk,plus/Plus
com.waze.apk,location/reporting/ReportingServices
com.waze.apk,location/ActivityRecognition
com.waze.apk,location/LocationServices
com.weather.Weather.apk,location/LocationServices
com.weather.Weather.apk,plus/Plus
com.weather.Weather.apk,location/LocationServices
com.whatsapp,location/LocationServices
com.whatsapp,location/LocationServices
com.whatsapp,wearable/Wearable
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,panorama/Panorama
net.zedge.android.apk,wearable/Wearable
org.mozilla.firefox,cast/Cast
org.mozilla.firefox,cast/Cast
tunein.player.apk,wearable/Wearable
tunein.player.apk,plus/Plus
tunein.player.apk,cast/Cast
wp.wattpad.apk,location/LocationServices
